artist_name,nbr_of_words,average,median,standard deviation,max,min,francais average,francais median,francais standard deviation,francais max,francais min,english average,english median,english standard deviation,english max,english min
La Constellation,3791,1470,1471,7,1479,1461,1457,1458,6,1465,1449,392,392,2,395,391
Dubmatique,6311,1352,1352,15,1380,1331,1248,1256,43,1292,1193,428,416,54,504,371
Osti One,6255,1344,1347,25,1371,1294,1162,1160,17,1182,1132,584,598,30,609,523
Bad Nylon,6498,1333,1341,16,1354,1309,1047,1048,4,1052,1038,700,712,23,724,663
Manu Militari,26607,1325,1329,58,1397,1207,1278,1286,61,1359,1165,390,392,19,425,353
Loco Locass,21337,1253,1249,60,1380,1150,1207,1198,63,1352,1109,348,353,18,370,307
K6A,6865,1245,1245,9,1254,1225,1056,1057,9,1069,1040,565,553,21,597,542
Anodajay,7608,1231,1224,16,1266,1215,1180,1172,18,1209,1159,371,388,34,397,311
Koriass,41307,1208,1186,73,1330,1097,1039,1044,54,1140,916,491,504,81,617,341
Loud  Lary  Ajust,26336,1198,1197,66,1330,1043,798,788,57,902,669,743,746,52,847,631
Muzion,11569,1176,1150,48,1249,1123,1011,986,67,1109,936,479,467,47,620,437
Rainmen,5833,1173,1178,67,1244,1097,1023,1025,13,1039,1000,432,450,75,520,338
Rymz,18590,1168,1158,37,1260,1105,1034,1032,46,1120,938,443,453,50,524,373
Connaisseur,10062,1166,1166,20,1196,1132,1024,1032,14,1036,993,474,472,15,496,455
Eman x Vlooper,9724,1144,1149,24,1178,1106,933,921,22,969,906,531,537,10,547,513
Loud (Canada),7842,1138,1138,12,1154,1118,884,884,8,896,870,548,546,21,575,515
Taktika,7585,1137,1138,9,1150,1122,1040,1036,17,1071,1021,401,403,12,412,375
Alaclair Ensemble,47412,1136,1158,77,1246,984,957,974,55,1027,835,498,508,52,588,410
LaF (Montreal),4041,1116,1118,6,1122,1107,979,982,6,984,969,414,414,4,418,407
ST x LIAM,14126,1108,1127,68,1250,978,559,589,133,677,257,827,816,82,964,714
Roi Heenok,12820,1080,1088,70,1175,925,999,998,62,1088,882,371,375,35,421,307
Dead Obies,34685,1072,1073,65,1178,969,685,680,55,774,580,695,701,42,755,606
KenLo,7698,1066,1055,59,1176,1007,906,897,40,989,867,458,450,42,522,410
Maybe Watson,8158,1063,1081,59,1123,979,903,914,37,962,847,491,490,41,544,437
Seba et Horg,6588,1038,1040,37,1086,992,925,934,30,963,885,443,436,21,469,410
Sans Pression,18215,1014,983,68,1122,931,883,868,48,991,816,405,382,52,524,353
Les Anticipateurs,36409,1012,1022,44,1086,935,922,934,42,1000,854,387,391,22,422,344
Jay Scøtt X Smitty Bacalley,4985,1007,1007,8,1022,999,917,913,8,933,911,337,340,7,345,327
Souldia,35147,1004,1004,46,1089,924,944,942,43,1027,864,315,318,22,353,280
Omnikrom,3522,988,988,1,989,986,944,944,1,945,942,331,331,0,331,330
FouKi,13480,983,979,22,1024,954,779,776,16,810,754,475,475,19,513,452
Yes Mccan,7622,968,977,25,997,924,776,772,21,807,747,457,463,20,487,425
Obia le Chef,4507,942,946,10,953,926,846,844,6,853,836,371,374,13,389,351
Lary Kidd,10181,919,918,25,962,864,616,626,37,673,566,552,535,36,610,516
WHITE-B,13772,910,923,36,947,845,865,877,35,913,801,265,261,15,292,244
Rowjay,9769,895,889,23,934,867,807,805,13,828,788,348,331,30,403,315
M.B,14331,876,853,76,989,779,696,727,72,786,567,405,352,151,661,249
Sir Pathétik,12491,822,824,12,847,805,733,744,24,766,695,302,290,25,340,278
K-maro,20672,793,796,43,868,706,605,601,71,690,479,421,404,69,571,325
Enima,39752,782,795,36,842,695,650,665,45,731,535,339,339,41,475,278
Joe Rocca,6285,774,780,53,829,702,515,518,43,562,458,463,466,27,492,425
IZZY-S,24902,772,776,36,868,679,720,719,34,810,631,253,254,17,293,224
Brown Family,5348,771,765,18,808,754,554,547,14,575,541,430,430,16,452,409